id,fname,SMILES,first_triplet,first_singlet,dipole_moment
52,electronic_prop_molecule_2512.dat,COc1c(-c2c(C)c(F)c(-c3oc4c(F)csc4c3C)c3nsnc23)n(C)c2cc(-c3sc4c(C)c(-c5sc6c(C)c(-c7c(F)c(C)c(-c8c(OC)c9sc(-c%10sc%11c(C)cn(C)c%11c%10SC)cc9n8C)c8nsnc78)oc6c5F)n(C)c4c3SC)sc12,2.31,2.5,7.97378
53,electronic_prop_molecule_2274.dat,COc1c(-c2c(F)cc(-c3scc(F)c3SC)c3nn(C)nc23)oc(-c2c(OC)c3occc3n2C)c1OC,2.394,2.854,2.78553
54,electronic_prop_molecule_4605.dat,CSc1coc(-c2cnc(-c3oc(-c4c(SC)c5c(F)c6c(c(SC)cn6C)c(F)c5n4C)c(SC)c3SC)c3nonc23)c1SC,1.97,2.533,1.81309
55,electronic_prop_molecule_334.dat,CSc1cc2nc(-c3ccc(F)c(F)c3)c(-c3ccccc3)nc2c(-c2cc3c(o2)-c2[se]c(-c4c(SC)c(C)c(-c5cc6c(o5)-c5[se]ccc5[SiH2]6)c5nc(-c6ccccc6)c(-c6ccc(F)c(F)c6)nc45)cc2[SiH2]3)c1C,2.041,2.3,3.48387
56,electronic_prop_molecule_3142.dat,CSc1coc2c(-c3cc(C)c(C)c(C)c3)c3c(SC)c(-c4nccc5nn(C)nc45)oc3c(-c3cc(C)c(C)c(C)c3)c12,2.627,3.249,3.00173
57,electronic_prop_molecule_1755.dat,COc1cc(-c2ccc(-c3cc(F)cc4nn(C)nc34)n2C)n(C)c1,3.103,3.642,2.39863
58,electronic_prop_molecule_452.dat,COc1c(C)c(-c2c(C)c3occ(OC)c3n2C)c2nc(SC)cnc2c1-c1cc2c(s1)c(C)c(-c1oc3c(-c4cc(C)c(C)c(C)c4)c4c(OC)c(-c5oc6c(C)c(-c7c(C)c(OC)c(-c8cc9c(s8)c(C)c(-c8oc%10c(-c%11cc(C)c(C)c(C)c%11)c%11c(OC)coc%11c(-c%11cc(F)c(C)c(F)c%11)c%10c8SC)n9C)c8ncc(SC)nc78)n(C)c6c5OC)oc4c(-c4cc(F)c(C)c(F)c4)c3c1SC)n2C,2.486,2.765,5.39366
59,electronic_prop_molecule_3624.dat,Cc1csc(-c2cnc(-c3sc(-c4c(F)c5c(F)c6c(c(F)cn6C)c(F)c5n4C)c(C)c3C)c3nsnc23)c1C,2.122,2.602,0.81266
60,electronic_prop_molecule_3630.dat,COc1cn(C)c2c(F)c3c(OC)c(-c4sc(-c5ncc(-c6scc(C)c6C)c6nsnc56)c(C)c4C)n(C)c3c(F)c12,2.073,2.541,2.27875
61,electronic_prop_molecule_446.dat,COc1cc(-c2c3sccc3c(-c3cc(SC)c(C)o3)c3oc(-c4sc(-c5oc(-c6ccc(-c7cc8c(-c9cc(SC)c(C)o9)c9oc(-c%10sc(-c%11oc(-c%12ccc[se]%12)c%12c%11C(=O)c%11c(coc%11F)C%12=O)cc%10F)c(OC)c9c(-c9cc(OC)c(F)n9C)c8s7)[se]6)c6c5C(=O)c5c(coc5F)C6=O)cc4F)c(OC)c23)n(C)c1F,2.077,2.364,7.24892
62,electronic_prop_molecule_1999.dat,CSc1c[se]c(-c2sc(-c3cc(C)c(-c4cc5[nH]c6ccsc6c5o4)o3)c3c2C(=O)c2c(SC)oc(C)c2C3=O)c1,2.133,2.647,4.08595
63,electronic_prop_molecule_1741.dat,COc1cc(-c2c3scc(SC)c3c(-c3ccc(C)c(C)c3)c3c2c(OC)c(-c2sc(-c4c(F)cc(-c5c(SC)c(F)cn5C)c5nonc45)c(C)c2SC)n3C)cc(F)c1SC,2.617,3.115,6.78228
64,electronic_prop_molecule_2248.dat,COc1cc2c(cc1C)C(=O)c1c(-c3cc(F)c(-c4ccc(-c5cc(SC)co5)s4)s3)[se]c(-c3cc(F)c[se]3)c1C2=O,2.131,2.607,2.52216
65,electronic_prop_molecule_3156.dat,Cc1csc2c(-c3ccccc3)c3c(C)c(-c4nccc5nn(C)nc45)sc3c(-c3ccccc3)c12,2.759,3.302,2.93146
66,electronic_prop_molecule_320.dat,COc1cc(-c2ccc(-c3oc(-c4sc(-c5cc(SC)c(-c6c(OC)cc(-c7ccc(-c8oc(-c9sc(-c%10cc(SC)co%10)c%10c9C(=O)c9cc(C)c(OC)cc9C%10=O)cc8F)n7C)n6C)o5)c5c4C(=O)c4cc(C)c(OC)cc4C5=O)cc3F)n2C)n(C)c1,2.148,2.509,1.89537
67,electronic_prop_molecule_4639.dat,CSc1coc(-c2cnc(-c3oc(-c4sc5c(SC)c6c(F)csc6c(SC)c5c4F)c(SC)c3SC)c3nonc23)c1SC,1.928,2.499,3.42763
68,electronic_prop_molecule_1972.dat,CSc1cc(-c2c(C)c(SC)cc3nc(-c4ccc(F)c(F)c4)c(-c4ccccc4)nc23)sc1-c1c(F)ccn1C,3.098,3.391,2.44102
69,electronic_prop_molecule_3803.dat,CSc1cn(C)c2c(F)c3c(SC)c(-c4oc(-c5ncc(-c6occ(F)c6F)c6nonc56)c(F)c4F)n(C)c3c(F)c12,2.087,2.698,4.47744
70,electronic_prop_molecule_3817.dat,COc1coc2cc3c(OC)c(-c4oc(-c5ncc(-c6occ(F)c6F)c6nonc56)c(F)c4F)oc3cc12,1.85,2.473,4.64679
71,electronic_prop_molecule_1966.dat,COc1cc(-c2nc3c(-c4cc(C)c(-c5cc6oc7c(SC)coc7c6n5C)s4)c(SC)c(OC)c(-c4cccn4C)c3nc2-c2ccc(F)c(C)c2)cc(F)c1OC,2.6,2.898,2.34443
72,electronic_prop_molecule_1796.dat,COc1c(F)c(-c2c(F)c(SC)c(-c3occ(SC)c3F)c3nc(-c4ccc(SC)cc4)c(-c4ccc(F)c(SC)c4)nc23)n(C)c1-c1cc2c(o1)-c1[se]ccc1[SiH2]2,2.505,2.84,1.96665
73,electronic_prop_molecule_3181.dat,CSc1cc(-c2c3oc(-c4nccc5nn(C)nc45)c(F)c3c(-c3cc(SC)c(SC)c(SC)c3)c3occ(F)c23)cc(SC)c1SC,2.915,3.46,4.36407
74,electronic_prop_molecule_4836.dat,COc1cc(-c2c3c(C)c(-c4ncc(-c5c(C)c6c(-c7cc(OC)c(OC)c(OC)c7)c7c(c(C)c(-c8nccc9nn(C)nc89)n7C)c(-c7cc(OC)c(OC)c(OC)c7)c6n5C)c5nn(C)nc45)n(C)c3c(-c3cc(OC)c(OC)c(OC)c3)c3c(C)cn(C)c23)cc(OC)c1OC,2.484,2.834,3.438
75,electronic_prop_molecule_4188.dat,Cn1nc2ccnc(-c3cc(F)c(-c4sc(-c5cnc(-c6cc(F)c(-c7sccc7F)s6)c6nn(C)nc56)cc4F)s3)c2n1,2.214,2.603,3.31836
